board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2008-06,6684/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2008%20Jun/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2008%20Jun/Question-paper/Questionpaper-UnitS2%286684%29-June2008.pdf,Pearson Edexcel mathematics (mathematics-modular) 6684/01 2008 question paper,normalized
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2009-06,6664/01,none,ms,,,Pearson Edexcel mathematics (mathematics-modular) 6664/01 2009 mark scheme,planned
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2009-06,6684/01,none,ms,,,Pearson Edexcel mathematics (mathematics-modular) 6684/01 2009 mark scheme,planned
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2013-06,6663/01R,none,qp,,,Pearson Edexcel mathematics (mathematics-modular) 6663/01R 2013 question paper,planned
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2013-06,6665/01R,none,qp,,,Pearson Edexcel mathematics (mathematics-modular) 6665/01R 2013 question paper,planned
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2013-06,6666/01R,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2013%20Jun/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2013%20Jun/Question-paper/6666_01R_que_20130618.pdf,Pearson Edexcel mathematics (mathematics-modular) 6666/01R 2013 question paper,normalized
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2016-06,6678/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2016%20Jun/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2016%20Jun/Question-paper/Questionpaper-Unit2%286678%29-June2016.pdf,Pearson Edexcel mathematics (mathematics-modular) 6678/01 2016 question paper,normalized
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2016-06,6684/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2016%20Jun/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2016%20Jun/Question-paper/Questionpaper-Unit2%286684%29-June2016.pdf,Pearson Edexcel mathematics (mathematics-modular) 6684/01 2016 question paper,normalized
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2017-06,6678/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2017%20Jun/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2017%20Jun/Question-paper/Questionpaper-Unit2%286678%29-June2017%281%29.pdf,Pearson Edexcel mathematics (mathematics-modular) 6678/01 2017 question paper,normalized
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2017-06,6684/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2017%20Jun/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2017%20Jun/Question-paper/Questionpaper-Unit2%286684%29-June2017%281%29.pdf,Pearson Edexcel mathematics (mathematics-modular) 6684/01 2017 question paper,normalized
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2018-06,6678/01,none,qp,,,Pearson Edexcel mathematics (mathematics-modular) 6678/01 2018 question paper,planned
pearson-edexcel,gce-a-level,mathematics,mathematics-modular,2018-06,6684/01,none,qp,,,Pearson Edexcel mathematics (mathematics-modular) 6684/01 2018 question paper,planned
pearson-edexcel,gce-a-level,physics,physics-2008,2011-01,6PH01/01,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2011%20Jan/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2011%20Jan/Mark-scheme/Markscheme-Unit1%286PH01%29-January2011.pdf,Pearson Edexcel physics (physics-2008) 6PH01/01 2011 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2011-01,6PH01/01R,none,qp,,,Pearson Edexcel physics (physics-2008) 6PH01/01R 2011 question paper,planned
pearson-edexcel,gce-a-level,physics,physics-2008,2011-01,6PH02/01,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2011%20Jan/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2011%20Jan/Mark-scheme/Markscheme-Unit2%286PH02%29-January2011.pdf,Pearson Edexcel physics (physics-2008) 6PH02/01 2011 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2011-01,6PH02/01R,none,qp,,,Pearson Edexcel physics (physics-2008) 6PH02/01R 2011 question paper,planned
pearson-edexcel,gce-a-level,physics,physics-2008,2011-01,6PH04/01,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2011%20Jan/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2011%20Jan/Mark-scheme/Markscheme-Unit4%286PH04%29-January2011.pdf,Pearson Edexcel physics (physics-2008) 6PH04/01 2011 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2011-01,6PH04/01R,none,qp,,,Pearson Edexcel physics (physics-2008) 6PH04/01R 2011 question paper,planned
pearson-edexcel,gce-a-level,physics,physics-2008,2013-06,6PH01/01R,none,ms,,,Pearson Edexcel physics (physics-2008) 6PH01/01R 2013 mark scheme,planned
pearson-edexcel,gce-a-level,physics,physics-2008,2013-06,6PH02/01R,none,ms,,,Pearson Edexcel physics (physics-2008) 6PH02/01R 2013 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2013-06,6PH04/01R,none,ms,,,Pearson Edexcel physics (physics-2008) 6PH04/01R 2013 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2013-06,6PH05/01R,none,ms,,,Pearson Edexcel physics (physics-2008) 6PH05/01R 2013 mark scheme,planned
pearson-edexcel,gce-a-level,physics,physics-2008,2014-06,6PH01/01R,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme/Markscheme-Unit1%286PH01%29-Paper1R-June2014.pdf,Pearson Edexcel physics (physics-2008) 6PH01/01R 2014 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2014-06,6PH02/01R,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme/Markscheme-Unit2%286PH02%29-Paper1R-June2014.pdf,Pearson Edexcel physics (physics-2008) 6PH02/01R 2014 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2014-06,6PH04/01R,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme/Markscheme-Unit4%286PH04%29-Paper1R-June2014.pdf,Pearson Edexcel physics (physics-2008) 6PH04/01R 2014 mark scheme,normalized
pearson-edexcel,gce-a-level,physics,physics-2008,2014-06,6PH05/01R,none,ms,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2014%20Jun/Mark-scheme/Markscheme-Unit5%286PH05%29-Paper1R-June2014.pdf,Pearson Edexcel physics (physics-2008) 6PH05/01R 2014 mark scheme,normalized
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2019-06,WME01/01,none,qp,,,Pearson Edexcel mathematics (mathematics-2018) WME01/01 2019 question paper,na:pmt-not-listed
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2020-01,WME01/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2020%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2020%20Jan/Question-paper/Questionpaper-Unit1%28WME01%29-January2020.pdf,Pearson Edexcel mathematics (mathematics-2018) WME01/01 2020 question paper,normalized
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2020-01,WME01/01A,none,ms,,,Pearson Edexcel mathematics (mathematics-2018) WME01/01A 2020 mark scheme,na:pmt-byte-duplicate
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2020-06,WME01/01A,none,ms,,,Pearson Edexcel mathematics (mathematics-2018) WME01/01A 2020 mark scheme,na:pmt-mislabeled
